map_type,map_name,map_size,obstacle_ratio,task_id,start,goal,optimal_length,task_source
street,Berlin_0_512,512x512,0.2498,2,"321,437","150,304",226.090404,middle_30_50
street,Berlin_0_512,512x512,0.2498,3,"267,264","100,205",226.249783,middle_30_50
street,Berlin_0_512,512x512,0.2498,4,"35,201","97,401",226.267027,middle_30_50
street,Berlin_0_512,512x512,0.2498,5,"133,219","85,126",226.279221,middle_30_50
street,Berlin_0_512,512x512,0.2498,6,"46,270","29,85",226.651804,middle_30_50
street,Berlin_0_512,512x512,0.2498,7,"15,443","219,466",227.610173,middle_30_50
street,Berlin_0_512,512x512,0.2498,8,"93,259","153,56",227.852814,middle_30_50
street,Berlin_0_512,512x512,0.2498,9,"365,220","203,79",228.019336,middle_30_50
street,Berlin_0_512,512x512,0.2498,10,"268,298","66,345",228.095454,middle_30_50
street,Berlin_0_512,512x512,0.2498,11,"42,48","248,1",228.781746,middle_30_50
street,Berlin_0_512,512x512,0.2498,12,"13,209","157,140",229.090404,middle_30_50
street,Berlin_0_512,512x512,0.2498,13,"176,306","121,505",229.580736,middle_30_50
street,Berlin_0_512,512x512,0.2498,14,"13,212","90,404",229.693434,middle_30_50
street,Berlin_0_512,512x512,0.2498,15,"190,437","184,230",231.024387,middle_30_50
street,Berlin_0_512,512x512,0.2498,16,"154,43","262,215",231.161472,middle_30_50
street,Berlin_0_512,512x512,0.2498,17,"353,245","168,357",231.391919,middle_30_50
street,Berlin_0_512,512x512,0.2498,18,"262,277","355,463",231.735065,middle_30_50
street,Berlin_0_512,512x512,0.2498,19,"127,142","217,294",232.208153,middle_30_50
street,London_0_512,512x512,0.2502,0,"348,246","114,206",250.568542,middle_30_50
street,London_0_512,512x512,0.2502,1,"107,276","244,161",251.036580,middle_30_50
street,London_0_512,512x512,0.2502,2,"445,89","230,126",251.036580,middle_30_50
street,London_0_512,512x512,0.2502,3,"211,262","407,145",251.492424,middle_30_50
street,London_0_512,512x512,0.2502,4,"265,114","267,345",251.526912,middle_30_50
street,London_0_512,512x512,0.2502,5,"361,479","456,275",251.634560,middle_30_50
street,London_0_512,512x512,0.2502,6,"279,36","110,169",253.504617,middle_30_50
street,London_0_512,512x512,0.2502,7,"67,137","254,298",253.688383,middle_30_50
street,London_0_512,512x512,0.2502,8,"262,68","259,313",253.698485,middle_30_50
street,London_0_512,512x512,0.2502,9,"255,377","498,351",253.769553,middle_30_50
street,London_0_512,512x512,0.2502,10,"378,162","207,117",254.048773,middle_30_50
street,London_0_512,512x512,0.2502,11,"482,213","369,5",254.806133,middle_30_50
street,London_0_512,512x512,0.2502,12,"367,25","502,224",254.918831,middle_30_50
street,London_0_512,512x512,0.2502,13,"394,289","420,84",255.284271,middle_30_50
street,London_0_512,512x512,0.2502,14,"216,499","16,385",255.421356,middle_30_50
street,London_0_512,512x512,0.2502,15,"441,188","331,398",255.563492,middle_30_50
street,London_0_512,512x512,0.2502,16,"462,110","247,117",256.007143,middle_30_50
street,London_0_512,512x512,0.2502,17,"412,416","203,304",256.563492,middle_30_50
street,London_0_512,512x512,0.2502,18,"62,337","66,299",256.634560,middle_30_50
street,London_0_512,512x512,0.2502,19,"211,323","355,126",256.646753,middle_30_50
street,Moscow_0_512,512x512,0.2502,0,"50,98","243,33",219.923882,middle_30_50
street,Moscow_0_512,512x512,0.2502,1,"506,167","311,104",221.095454,middle_30_50
street,Moscow_0_512,512x512,0.2502,2,"126,333","116,154",221.107648,middle_30_50
street,Moscow_0_512,512x512,0.2502,3,"152,316","281,471",221.303607,middle_30_50
street,Moscow_0_512,512x512,0.2502,4,"69,267","241,376",221.492424,middle_30_50
street,Moscow_0_512,512x512,0.2502,5,"6,442","147,289",221.948268,middle_30_50
street,Moscow_0_512,512x512,0.2502,6,"50,274","68,477",222.053824,middle_30_50
street,Moscow_0_512,512x512,0.2502,7,"402,249","455,52",222.267027,middle_30_50
street,Moscow_0_512,512x512,0.2502,8,"344,386","194,448",222.391919,middle_30_50
street,Moscow_0_512,512x512,0.2502,9,"198,365","12,445",223.279221,middle_30_50
street,Moscow_0_512,512x512,0.2502,10,"114,238","241,302",223.308658,middle_30_50
street,Moscow_0_512,512x512,0.2502,11,"133,301","302,427",224.504617,middle_30_50
street,Moscow_0_512,512x512,0.2502,12,"485,107","319,226",224.663997,middle_30_50
street,Moscow_0_512,512x512,0.2502,13,"352,435","387,228",224.811183,middle_30_50
street,Moscow_0_512,512x512,0.2502,14,"421,149","385,354",224.882251,middle_30_50
street,Moscow_0_512,512x512,0.2502,15,"305,69","125,160",225.149278,middle_30_50
street,Moscow_0_512,512x512,0.2502,16,"154,434","225,243",225.379726,middle_30_50
street,Moscow_0_512,512x512,0.2502,17,"435,164","373,364",225.681241,middle_30_50
street,Moscow_0_512,512x512,0.2502,18,"188,6","381,85",225.722871,middle_30_50
street,Moscow_0_512,512x512,0.2502,19,"210,191","355,357",226.060966,middle_30_50
street,Paris_0_512,512x512,0.2502,0,"337,103","487,211",216.994949,middle_30_50
street,Paris_0_512,512x512,0.2502,1,"324,236","378,51",217.325902,middle_30_50
street,Paris_0_512,512x512,0.2502,2,"159,326","291,461",217.793939,middle_30_50
street,Paris_0_512,512x512,0.2502,3,"427,300","486,124",218.597980,middle_30_50
street,Paris_0_512,512x512,0.2502,4,"183,310","307,191",218.982756,middle_30_50
street,Paris_0_512,512x512,0.2502,5,"280,144","314,316",219.137085,middle_30_50
street,Paris_0_512,512x512,0.2502,6,"151,323","104,123",219.468037,middle_30_50
street,Paris_0_512,512x512,0.2502,7,"250,451","146,274",220.078210,middle_30_50
street,Paris_0_512,512x512,0.2502,8,"362,203","418,400",220.195959,middle_30_50
street,Paris_0_512,512x512,0.2502,9,"265,499","105,437",220.835570,middle_30_50
street,Paris_0_512,512x512,0.2502,10,"432,488","436,271",221.142136,middle_30_50
street,Paris_0_512,512x512,0.2502,11,"465,141","306,262",221.421356,middle_30_50
street,Paris_0_512,512x512,0.2502,12,"132,237","276,268",221.752309,middle_30_50
street,Paris_0_512,512x512,0.2502,13,"118,112","180,309",222.681241,middle_30_50
street,Paris_0_512,512x512,0.2502,14,"413,414","225,339",223.166522,middle_30_50
street,Paris_0_512,512x512,0.2502,15,"474,199","399,373",223.225397,middle_30_50
street,Paris_0_512,512x512,0.2502,16,"281,295","166,454",223.622366,middle_30_50
street,Paris_0_512,512x512,0.2502,17,"115,346","233,174",224.534055,middle_30_50
street,Paris_0_512,512x512,0.2502,18,"39,332","242,314",225.367532,middle_30_50
street,Paris_0_512,512x512,0.2502,19,"180,287","26,168",225.551299,middle_30_50
street,Shanghai_0_512,512x512,0.2502,0,"336,248","189,108",207.918831,middle_30_50
street,Shanghai_0_512,512x512,0.2502,1,"231,254","62,158",208.764502,middle_30_50
street,Shanghai_0_512,512x512,0.2502,2,"42,142","201,243",209.622366,middle_30_50
street,Shanghai_0_512,512x512,0.2502,3,"377,468","235,375",209.811183,middle_30_50
street,Shanghai_0_512,512x512,0.2502,4,"377,258","492,421",210.634560,middle_30_50
street,Shanghai_0_512,512x512,0.2502,5,"214,1","363,150",210.717821,middle_30_50
street,Shanghai_0_512,512x512,0.2502,6,"242,189","87,82",211.036580,middle_30_50
street,Shanghai_0_512,512x512,0.2502,7,"428,284","271,153",211.261977,middle_30_50
street,Shanghai_0_512,512x512,0.2502,8,"190,295","52,166",211.350288,middle_30_50
street,Shanghai_0_512,512x512,0.2502,9,"481,177","289,130",211.468037,middle_30_50
street,Shanghai_0_512,512x512,0.2502,10,"32,78","215,70",211.994949,middle_30_50
street,Shanghai_0_512,512x512,0.2502,11,"181,260","31,159",212.663997,middle_30_50
street,Shanghai_0_512,512x512,0.2502,12,"185,304","144,116",214.095454,middle_30_50
street,Shanghai_0_512,512x512,0.2502,13,"384,449","348,303",214.308658,middle_30_50
street,Shanghai_0_512,512x512,0.2502,14,"325,227","420,402",214.350288,middle_30_50
street,Shanghai_0_512,512x512,0.2502,15,"351,111","153,151",214.568542,middle_30_50
street,Shanghai_0_512,512x512,0.2502,16,"242,376","185,291",214.977705,middle_30_50
street,Shanghai_0_512,512x512,0.2502,17,"339,290","207,402",215.462987,middle_30_50
street,Shanghai_0_512,512x512,0.2502,18,"124,13","131,210",215.639610,middle_30_50
street,Shanghai_0_512,512x512,0.2502,19,"241,58","279,258",215.740115,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,0,"140,167","269,300",202.835570,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,1,"328,395","384,215",203.195959,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,2,"283,273","376,425",203.291414,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,3,"47,318","117,160",204.894444,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,4,"205,326","391,373",205.468037,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,5,"314,397","119,415",205.769553,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,6,"248,249","86,329",205.823376,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,7,"177,318","328,233",206.166522,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,8,"172,263","207,455",206.497475,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,9,"474,117","300,149",206.509668,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,10,"117,470","275,356",206.977705,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,11,"309,34","180,172",207.249783,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,12,"328,234","444,99",207.308658,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,13,"268,176","131,325",208.090404,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,14,"397,90","270,131",208.610173,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,15,"172,164","69,65",209.154329,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,16,"362,211","281,62",209.705627,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,17,"236,99","87,246",209.889394,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,18,"450,405","337,449",210.338095,middle_30_50
wc3,dustwallowkeys,512x512,0.3153,19,"190,243","41,120",211.078210,middle_30_50
wc3,blastedlands,512x512,0.4987,0,"346,286","271,418",163.066017,middle_30_50
wc3,blastedlands,512x512,0.4987,1,"277,301","403,350",163.911688,middle_30_50
wc3,blastedlands,512x512,0.4987,2,"177,190","93,304",164.024387,middle_30_50
wc3,blastedlands,512x512,0.4987,3,"92,274","96,434",164.142136,middle_30_50
wc3,blastedlands,512x512,0.4987,4,"324,96","189,91",164.610173,middle_30_50
wc3,blastedlands,512x512,0.4987,5,"235,222","351,299",164.882251,middle_30_50
wc3,blastedlands,512x512,0.4987,6,"183,180","130,286",165.066017,middle_30_50
wc3,blastedlands,512x512,0.4987,7,"168,464","142,319",165.225397,middle_30_50
wc3,blastedlands,512x512,0.4987,8,"140,382","261,296",165.409163,middle_30_50
wc3,blastedlands,512x512,0.4987,9,"419,262","439,415",166.254834,middle_30_50
wc3,blastedlands,512x512,0.4987,10,"171,266","204,420",167.669048,middle_30_50
wc3,blastedlands,512x512,0.4987,11,"259,352","357,474",167.865007,middle_30_50
wc3,blastedlands,512x512,0.4987,12,"374,126","393,265",168.124892,middle_30_50
wc3,blastedlands,512x512,0.4987,13,"340,436","372,281",168.254834,middle_30_50
wc3,blastedlands,512x512,0.4987,14,"107,247","241,165",168.551299,middle_30_50
wc3,blastedlands,512x512,0.4987,15,"224,411","338,289",169.220346,middle_30_50
wc3,blastedlands,512x512,0.4987,16,"350,124","218,214",169.279221,middle_30_50
wc3,blastedlands,512x512,0.4987,17,"104,334","219,250",169.610173,middle_30_50
wc3,blastedlands,512x512,0.4987,18,"333,95","289,235",170.994949,middle_30_50
wc3,blastedlands,512x512,0.4987,19,"175,80","320,77",171.154329,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,0,"286,390","306,257",188.840620,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,1,"371,205","209,234",189.225397,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,2,"291,161","142,259",189.592929,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,3,"347,434","180,379",189.781746,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,4,"455,117","318,208",190.391919,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,5,"299,139","219,287",190.693434,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,6,"267,411","445,431",191.254834,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,7,"155,240","146,90",191.426407,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,8,"172,386","80,269",191.752309,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,9,"118,165","290,211",192.225397,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,10,"471,411","288,398",192.526912,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,11,"139,281","240,429",193.350288,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,12,"249,310","177,350",193.681241,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,13,"97,231","245,227",194.911688,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,14,"260,405","336,252",195.024387,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,15,"254,102","351,245",195.480231,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,16,"333,386","406,241",195.781746,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,17,"272,381","310,214",195.852814,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,18,"310,135","136,82",195.953319,middle_30_50
wc3,bloodvenomfalls,512x512,0.5573,19,"473,215","432,381",196.095454,middle_30_50
wc3,darkforest,512x512,0.6194,0,"301,358","442,379",180.852814,middle_30_50
wc3,darkforest,512x512,0.6194,1,"231,170","351,272",181.036580,middle_30_50
wc3,darkforest,512x512,0.6194,2,"134,190","203,343",181.580736,middle_30_50
wc3,darkforest,512x512,0.6194,3,"212,332","329,410",181.610173,middle_30_50
wc3,darkforest,512x512,0.6194,4,"260,174","172,318",181.622366,middle_30_50
wc3,darkforest,512x512,0.6194,5,"320,405","156,388",183.468037,middle_30_50
wc3,darkforest,512x512,0.6194,6,"300,255","217,399",183.651804,middle_30_50
wc3,darkforest,512x512,0.6194,7,"341,438","241,339",184.539105,middle_30_50
wc3,darkforest,512x512,0.6194,8,"425,236","423,87",185.367532,middle_30_50
wc3,darkforest,512x512,0.6194,9,"296,425","276,270",185.752309,middle_30_50
wc3,darkforest,512x512,0.6194,10,"196,322","313,439",185.965512,middle_30_50
wc3,darkforest,512x512,0.6194,11,"124,195","233,336",186.149278,middle_30_50
wc3,darkforest,512x512,0.6194,12,"434,191","306,295",186.308658,middle_30_50
wc3,darkforest,512x512,0.6194,13,"270,370","153,433",186.811183,middle_30_50
wc3,darkforest,512x512,0.6194,14,"385,89","293,208",187.107648,middle_30_50
wc3,darkforest,512x512,0.6194,15,"431,348","300,250",187.208153,middle_30_50
wc3,darkforest,512x512,0.6194,16,"160,140","304,239",187.350288,middle_30_50
wc3,darkforest,512x512,0.6194,17,"316,242","207,380",188.421356,middle_30_50
wc3,darkforest,512x512,0.6194,18,"187,291","268,242",188.852814,middle_30_50
wc3,darkforest,512x512,0.6194,19,"131,273","288,212",188.894444,middle_30_50
wc3,battleground,512x512,0.6480,0,"152,147","268,243",159.279221,middle_30_50
wc3,battleground,512x512,0.6480,1,"183,203","290,301",160.480231,middle_30_50
wc3,battleground,512x512,0.6480,2,"383,158","231,180",161.112698,middle_30_50
wc3,battleground,512x512,0.6480,3,"348,293","316,145",161.254834,middle_30_50
wc3,battleground,512x512,0.6480,4,"194,174","353,168",161.485281,middle_30_50
wc3,battleground,512x512,0.6480,5,"317,328","419,419",161.894444,middle_30_50
wc3,battleground,512x512,0.6480,6,"63,235","125,171",162.083261,middle_30_50
wc3,battleground,512x512,0.6480,7,"330,324","248,195",162.965512,middle_30_50
wc3,battleground,512x512,0.6480,8,"219,370","304,444",163.183766,middle_30_50
wc3,battleground,512x512,0.6480,9,"358,204","452,269",163.610173,middle_30_50
wc3,battleground,512x512,0.6480,10,"396,332","263,398",163.852814,middle_30_50
wc3,battleground,512x512,0.6480,11,"236,402","377,396",164.195959,middle_30_50
wc3,battleground,512x512,0.6480,12,"242,333","388,377",164.225397,middle_30_50
wc3,battleground,512x512,0.6480,13,"168,185","258,289",164.308658,middle_30_50
wc3,battleground,512x512,0.6480,14,"398,325","243,343",164.941125,middle_30_50
wc3,battleground,512x512,0.6480,15,"342,193","233,77",166.421356,middle_30_50
wc3,battleground,512x512,0.6480,16,"338,312","454,396",166.610173,middle_30_50
wc3,battleground,512x512,0.6480,17,"336,383","418,277",166.811183,middle_30_50
wc3,battleground,512x512,0.6480,18,"208,298","252,149",167.225397,middle_30_50
wc3,battleground,512x512,0.6480,19,"150,340","232,206",167.965512,middle_30_50
